"","ID_no_Rep_dup","LogPopBio","Time","I(Time^2)",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"714","139_1",4.64473049919577,73.8212173713827,5449.57213419293,4.84376310968863,-0.199032610492858,0.144560520983034,0.286449613486735,0.0339005669059351,-0.775771641924645
"715","139_1",5.01260040951331,99.0621286100889,9813.3053247618,5.19716854097504,-0.184568131461725,0.190601134847836,0.287674974493535,0.0429339738249175,-0.739570748240836
"716","139_1",5.53672255711948,124.320222225404,15455.5176541738,5.50712204859569,0.0296005085237905,0.250284557815114,0.299293592462499,0.00169015620087586,0.123241010183824
"717","139_1",6.63967601674327,195.002792136199,38026.0889409136,6.14220558336228,0.497470433380991,0.32521967087247,0.169251747863377,0.76572686240306,2.18318416499249
"718","139_1",6.18010710348086,265.513538280903,70497.4390104445,6.43471499589458,-0.254607892413719,0.300863945171792,0.272612908550139,0.172853360473977,-1.09772945510684
"719","139_1",6.39781020155882,337.473331519638,113888.249486963,6.38204865511433,0.01576154644449,0.824588590151721,0.299224657568533,0.0288407567273373,0.135666997008976
"720","13_1",-0.0235706343589328,11.3471678467513,128.758218142347,-1.19688855946298,1.17331792510405,0.671939392285516,0.419349190294943,4.22310425773533,2.48707292895413
"721","13_1",-0.00953504368453616,35.558561760083,1264.41131444564,0.944608575716922,-0.954143619401458,0.258010119381348,0.774635677785082,0.209626766699681,-1.34482141611598
"722","13_1",1.69005802372909,59.8693744406917,3584.34199591975,2.8162134317332,-1.12615540800411,0.152906104784466,0.749307419676111,0.132781275018455,-1.48553335691851
"723","13_1",3.42661147991864,72.9049292795362,5315.12871325418,3.70476087205328,-0.27814939213464,0.152955023550259,0.873093260879137,0.00810373989842781,-0.366922832086186
"724","13_1",4.65145069277085,84.8585740038961,7200.97758197471,4.44899044713766,0.202460245633195,0.163338429235298,0.876550709060651,0.00469944650670255,0.268729105148608
"725","13_1",5.28936828892212,97.3034644018599,9467.96418460402,5.15207002224355,0.137298266678568,0.173046328447707,0.878682864929844,0.0023437355027852,0.183305004490229
