"","ID_no_Rep_dup","sigma","isConv","finTol","logLik","AIC","BIC","deviance","df.residual","nobs"
"21","12_1",0.0556361676277988,TRUE,1.49011611938477e-08,43.3176407723669,-76.6352815447338,-69.9742589938578,0.0742891955594047,24,28
"22","121_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","122_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","125_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","126_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","127_1",0.0696785227253315,TRUE,1.49011611938477e-08,41.9740899395901,-73.9481798791802,-66.6195003651816,0.135942702817167,28,32
"27","128_1",0.050924971837052,TRUE,1.49011611938477e-08,27.2368699666973,-44.4737399333946,-40.6107963221957,0.0311202330792545,12,16
"28","129_1",0.0883109923715736,TRUE,1.49011611938477e-08,20.4049686804626,-30.8099373609253,-26.3580785714444,0.10918363923113,14,18
"29","130_1",0.0389830326018644,TRUE,1.49011611938477e-08,53.2774366801267,-96.5548733602534,-89.8938508093774,0.0364722439401126,24,28
"30","131_1",0.25533844619382,TRUE,1.49011611938477e-08,0.415761182718253,9.16847763456349,16.4971571485621,1.82553621893088,28,32
"31","132_1",0.0359187669770858,TRUE,1.49011611938477e-08,32.8223658572334,-55.6447317144667,-51.7817881032678,0.0154818938538503,12,16
"32","133_1",0.0424865917603193,TRUE,1.49011611938477e-08,31.8539234155333,-53.7078468310667,-49.5417801107856,0.0234664362323044,13,17
"33","134_1",0.395530264860339,TRUE,1.49011611938477e-08,-11.6013862054683,33.2027724109366,39.8637949618127,3.75466057009176,24,28
"34","152_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","153_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","158_1",0.358871286714241,TRUE,1.49011611938477e-08,-6.86824682587109,23.7364936517422,29.4139647313879,2.44698340813077,19,23
"37","159_1",0.213035201315245,TRUE,1.49011611938477e-08,4.33920584892421,1.32158830215158,5.18453191335049,0.544607963993124,12,16
"38","160_1",0.330415178727068,TRUE,1.49011611938477e-08,-3.0158211135583,16.0316422271166,20.1977089473977,1.41926447433213,13,17
"39","161_1",0.0685211904201418,TRUE,1.49011611938477e-08,37.4849730937461,-64.9699461874922,-58.3089236366162,0.11268368487824,24,28
"40","162_1",0.352237314077084,TRUE,1.49011611938477e-08,-7.59099504918538,25.1819900983708,31.4724727884782,2.72956475942124,22,26
"41","163_1",0.23533115345432,TRUE,1.49011611938477e-08,2.74350786133704,4.51298427732592,8.05323528283697,0.609188269647548,11,15
"42","164_1",0.227055267694682,TRUE,1.49011611938477e-08,3.31942918616546,3.36114162766909,7.22408523886799,0.618649135054846,12,16
"43","165_1",0.0578470712273136,TRUE,1.49011611938477e-08,42.2264992896804,-74.4529985793607,-67.7919760284847,0.0803108075898695,24,28
"44","166_1",0.481220669435079,TRUE,1.49011611938477e-08,-15.7035358741877,41.4070717483754,47.6975544384828,5.09461331921401,22,26
"45","167_1",0.355332319919973,TRUE,1.49011611938477e-08,-3.43738881174973,16.8747776234995,20.4150286290105,1.38887163337681,11,15
"46","168_1",0.369117314074794,TRUE,1.49011611938477e-08,-3.55686315246029,17.1137263049206,20.3090129529969,1.3624759154979,10,14
"47","169_1",0.243083062941273,TRUE,1.49011611938477e-08,2.00891879585293,5.98216240829415,12.9881493166049,1.53632376271169,26,30
"48","17_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","170_1",0.125909478644695,TRUE,1.49011611938477e-08,17.2219661935947,-24.4439323871893,-18.7664613075436,0.301210739438998,19,23
"50","171_1",0.090526590641225,TRUE,1.49011611938477e-08,18.9941869088499,-27.9883738176998,-23.8223070974187,0.106535826970611,13,17
"51","172_1",0.514340142638491,TRUE,1.49011611938477e-08,-9.76363233110085,29.5272646622017,33.3902082734006,3.1745493879526,12,16
"52","173_1",0.193193994397076,TRUE,1.49011611938477e-08,8.46152298031832,-6.92304596063664,-0.262023409760623,0.895774067306341,24,28
"53","176_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","184_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","198_1",0.239313086950885,TRUE,1.49011611938477e-08,2.45114869220524,5.09770261558952,10.7751736952353,1.08814431813327,19,23
"56","199_1",0.222826569299015,TRUE,1.49011611938477e-08,3.46170998037816,3.07658003924368,5.90132682655137,0.446865119870119,9,13
"57","2_1",0.205052510327455,TRUE,1.49011611938477e-08,4.67301477735594,0.65397044528812,3.84925709336441,0.420465319915912,10,14
"58","200_1",0.0574323816437308,TRUE,1.49011611938477e-08,26.729787729591,-43.459575459182,-39.293508738901,0.0428802199965249,13,17
"59","201_1",0.100586774996356,TRUE,1.49011611938477e-08,26.73639634221,-43.4727926844201,-36.8117701335441,0.242824783300021,24,28
"60","202_1",0.0692403842552995,TRUE,1.49011611938477e-08,30.9754819377922,-51.9509638755843,-46.2734927959386,0.0910903854246089,19,23
"61","203_1",0.0781294473735927,TRUE,1.49011611938477e-08,15.9981872041589,-21.9963744083177,-19.5718411593777,0.0488336843752239,8,12
"62","204_1",0.159351888268707,TRUE,1.49011611938477e-08,8.59168978975406,-7.18337957950811,-3.64312857399706,0.279323267242828,11,15
"63","205_1",0.848151670876867,TRUE,1.49011611938477e-08,-32.9606869556689,75.9213739113379,82.5823964622139,17.2646701634693,24,28
"64","208_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","210_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","211_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","214_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","217_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","224_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","226_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","229_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","237_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","239_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","240_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","261_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","263_1",0.100460341979947,TRUE,1.49011611938477e-08,21.5465591231442,-33.0931182462883,-27.6379059794967,0.181661045593104,18,22
"77","264_1",0.114515754884309,TRUE,1.49011611938477e-08,12.1155674258916,-14.2311348517833,-11.4063880644756,0.118024723050509,9,13
"78","265_1",0.175663053496034,TRUE,1.49011611938477e-08,7.12989777902153,-4.25979555804307,-0.719544552532017,0.339432591999055,11,15
"79","266_1",0.122309148087564,TRUE,1.49011611938477e-08,21.261526871381,-32.523053742762,-25.8620311918859,0.359028664941736,24,28
"80","267_1",0.867788372797319,FALSE,1.49011611938477e-08,-27.1768807445744,64.3537614891488,70.0312325687945,14.3080765392822,19,23
"81","268_1",0.191808077335733,TRUE,1.49011611938477e-08,5.60780624880675,-1.2156124976135,1.97967415046279,0.367903385312307,10,14
"82","269_1",0.0948421616108118,TRUE,1.49011611938477e-08,16.3752023521059,-22.7504047042118,-19.2101536987008,0.0989453918091247,11,15
"83","270_1",0.0534200077134387,TRUE,1.49011611938477e-08,44.4557885412746,-78.9115770825492,-72.2505545316732,0.0684887333784925,24,28
"84","271_1",0.376813094272258,TRUE,1.49011611938477e-08,-7.99031337143707,25.9806267428741,31.6580978225199,2.69777405228563,19,23
"85","272_1",0.0794922455199302,TRUE,1.49011611938477e-08,20.1119728916844,-30.2239457833688,-26.3610021721699,0.0758282051736103,12,16
"86","273_1",0.134835554796552,TRUE,1.49011611938477e-08,11.6576297389642,-13.3152594779285,-9.45231586672957,0.218167522047527,12,16
"87","274_1",0.0532453043992441,TRUE,1.49011611938477e-08,44.5475090279956,-79.0950180559911,-72.4339955051151,0.0680414985736358,24,28
"88","3_1",0.152430058405999,TRUE,1.49011611938477e-08,9.25782528734504,-8.51565057469007,-4.97539956917902,0.25558414976222,11,15
"89","4_1",0.0740839378526768,FALSE,1.49011611938477e-08,35.2994135202056,-60.5988270404112,-53.9378044895352,0.131722316346223,24,28
"90","41_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","46_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","47_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","5_1",0.122429819661463,TRUE,1.49011611938477e-08,16.5255998779066,-23.0511997558132,-17.8285875671961,0.254814032619752,17,21
"94","6_1",0.745850786053015,FALSE,1.49011611938477e-08,-12.2440035336,34.4880070672,37.3127538545077,5.0066405555031,9,13
"95","7_1",0.154452929938467,TRUE,1.49011611938477e-08,9.48429428282352,-8.96858856564704,-5.10564495444814,0.286268490798923,12,16
"96","8_1",0.0641700662736623,TRUE,1.49011611938477e-08,39.3219467521036,-68.6438935042072,-61.9828709533312,0.0988271377335892,24,28
"97","84_1",0.262603495588747,TRUE,1.49011611938477e-08,0.407150045960063,9.18569990807987,14.6409121748715,1.24129072611772,18,22
"98","85_1",0.17168863389257,TRUE,1.49011611938477e-08,7.1591841419904,-4.3183682839808,-1.1230816359045,0.294769870078968,10,14
"99","86_1",0.716924334797724,TRUE,1.49011611938477e-08,-13.9661414225004,37.9322828450008,41.4725338505118,5.65378552007675,11,15
"100","87_1",0.678844416376019,FALSE,1.49011611938477e-08,-24.6492525963202,59.2985051926404,65.5889878827478,10.1382543161877,22,26
"101","88_1",0.232922357595383,TRUE,1.49011611938477e-08,3.01908859944135,3.9618228011173,9.18443498973442,0.922298019352454,17,21
"102","89_1",1.85234379721175,TRUE,1.49011611938477e-08,-28.2046923553811,66.4093847107621,69.9496357162732,37.7429529737573,11,15
"103","9_1",0.369697013075888,TRUE,1.49011611938477e-08,-8.41725868103564,26.8345173620713,32.9288964864123,2.8701935110219,21,25
"104","90_1",0.256501745480161,TRUE,1.49011611938477e-08,1.28882558143627,7.42234883712745,11.5884155574085,0.855310890646803,13,17
"105","91_1",1.35108216961825,FALSE,1.49011611938477e-08,-14.6443159978125,39.288631995625,40.8015574605952,10.9525381743622,6,10
"106","92_1",0.0609636880589377,TRUE,1.49011611938477e-08,31.1680505515726,-52.3361011031451,-47.113488914528,0.0631817114497069,17,21
"107","93_1",0.105121698650923,TRUE,1.49011611938477e-08,12.437167032787,-14.874334065574,-12.449800816634,0.088404572218043,8,12
"108","94_1",1.29676961748316,TRUE,1.49011611938477e-08,-21.1481014810961,52.2962029621923,55.4914896102686,16.8161144082743,10,14
"109","95_1",0.0469490378039245,FALSE,1.49011611938477e-08,48.0712224805664,-86.1424449611329,-79.4814224102568,0.052901091617144,24,28
"110","96_1",0.256868873987649,TRUE,1.49011611938477e-08,0.822908430567001,8.354183138866,14.0316542185117,1.25365075004997,19,23
"111","97_1",0.157014924163401,TRUE,1.49011611938477e-08,8.81330026099839,-7.62660052199677,-4.08634951648572,0.271190550510424,11,15
"112","98_1",0.107288834470846,TRUE,1.49011611938477e-08,16.1062106152504,-22.2124212305007,-18.0463545102196,0.149641622027463,13,17
"113","99_1",0.0433870649315495,TRUE,1.49011611938477e-08,50.2804604976869,-90.5609209953739,-83.8998984444978,0.0451784976809877,24,28
