"","ID_no_Rep_dup","LogPopBio","Time","(weights)",".fitted",".resid"
"2821","5_1",-1.68054453066222,384.295612009238,1,-1.59345138511787,-0.0870931455443529
"2822","5_1",-1.70619640766963,407.390300230947,1,-1.59345138511787,-0.112745022551763
"2823","5_1",-1.74743543848162,432.332563510392,1,-1.59345138511787,-0.153984053363753
"2824","5_1",-1.75927662937588,455.427251732101,1,-1.59345138511787,-0.165825244258013
"2825","5_1",-1.81912354538513,480.369515011547,1,-1.59345138511787,-0.225672160267263
"2826","60_1",1.0191396232283,3.12499999999997,1,1.00939664733313,0.00974297589516726
"2827","60_1",2.08527918483313,20.3124999999999,1,2.11617376772949,-0.0308945828963623
"2828","60_1",4.06391592079439,49.9999999999999,1,3.98030695204378,0.0836089687506081
"2829","60_1",4.49557071760213,92.1874999999999,1,4.72601259866793,-0.230441881065799
"2830","60_1",4.80187974660097,162.5,1,4.82946639000738,-0.0275866434064094
"2831","60_1",4.81108678104283,187.5,1,4.83152399055817,-0.0204372095153413
"2832","60_1",4.88754519749471,212.5,1,4.8320889096155,0.0554562878792115
"2833","60_1",4.99280061569272,239.0625,1,4.83224852750084,0.160552088191884
"2834","61_1",1.0191396232283,3.12499999999997,1,1.17041605786562,-0.151276434637323
"2835","61_1",3.4975331879286,21.875,1,3.04975782358815,0.447775364340448
"2836","61_1",3.99666453878435,49.9999999999999,1,4.36060562528473,-0.363941086500384
"2837","61_1",4.65927078921361,68.7499999999999,1,4.75058103361698,-0.0913102444033713
"2838","61_1",4.92787601140847,93.7499999999999,1,5.00329310178859,-0.0754170903801157
"2839","61_1",5.25299941513632,189.0625,1,5.18769008775098,0.0653093273853402
"2840","61_1",5.25259910929102,214.0625,1,5.19214180416702,0.0604573051239976
"2841","61_1",5.30026052399679,237.5,1,5.19398623652478,0.106274287472011
"2842","62_1",1.01916464234363,1.56249999999994,1,1.03251089917705,-0.0133462568334248
"2843","62_1",4.56392294068674,23.4375,1,4.44954343732218,0.114379503364563
"2844","62_1",4.89982958312229,45.3124999999999,1,5.17212025246795,-0.272290669345658
"2845","62_1",5.38865305846162,117.1875,1,5.36402554185452,0.0246275166071035
"2846","62_1",5.41704975436244,143.75,1,5.36500867475843,0.0520410796040114
"2847","62_1",5.41667446763247,167.1875,1,5.36515049185459,0.0515239757778776
"2848","62_1",5.40671685973069,189.0625,1,5.36517649908683,0.0415403606438609
"2849","63_1",1.00953228294115,3.125,1,0.981466565219467,0.028065717721683
"2850","63_1",1.21103623781796,18.75,1,1.16459499626323,0.0464412415547266
"2851","63_1",1.45079442003604,45.3124999999999,1,1.55017364844153,-0.099379228405494
"2852","63_1",1.88277446534308,67.1874999999999,1,1.9124147788556,-0.0296403135125218
"2853","63_1",2.35308379533738,95.3124999999999,1,2.39270318320722,-0.0396193878698377
"2854","63_1",3.77381927853011,167.1875,1,3.44022520211872,0.333594076411387
"2855","63_1",3.66776324864151,190.625,1,3.69181467238442,-0.0240514237429137
"2856","63_1",3.76346136478303,214.0625,1,3.89927389370774,-0.135812528924715
"2857","63_1",4.19499106601411,264.0625,1,4.21748195467983,-0.0224908886657156
"2858","63_1",4.29031389542566,310.9375,1,4.40137076097975,-0.111056865554094
"2859","63_1",4.36679733099288,334.375,1,4.46442883423929,-0.097631503246407
"2860","63_1",4.44323072832943,360.9375,1,4.51903087958727,-0.0758001512578401
"2861","63_1",4.58623999156209,429.6875,1,4.60438710947313,-0.0181471179110444
"2862","63_1",4.65309106772684,454.6875,1,4.62240488873641,0.0306861789904262
"2863","63_1",4.66229810216868,479.6875,1,4.63600521618,0.0262928859886769
"2864","63_1",4.74841389713838,501.5625,1,4.64513202616771,0.103281870970668
"2865","63_1",4.73840625100593,526.5625,1,4.65313882662154,0.0852674243843889
"2866","65_1",1.01898030958001,3.14818059692777,1,0.998668647320696,0.0203116622593139
"2867","65_1",1.30488056333236,25.3723497459262,1,1.3352627307136,-0.0303821673812441
"2868","65_1",4.48781869939661,74.5721628409556,1,4.42187748413153,0.0659412152650782
"2869","65_1",5.14674928946151,97.2519128555575,1,5.23422054772173,-0.0874712582602237
"2870","65_1",5.68738920997859,193.224694819228,1,5.84811395949174,-0.160724749513155
"2871","65_1",5.96379930894095,213.874773669762,1,5.85550529365393,0.108294015287016
"2872","65_1",5.94332448679559,241.974767828982,1,5.85929320603092,0.0840312807646706
"2873","66_1",1.01898030958001,3.14818059692777,1,1.02996971096798,-0.0109894013879654
"2874","66_1",4.63241279009468,51.3112551836925,1,4.56915478482341,0.063258005271269
"2875","66_1",5.13838001909553,72.241691489983,1,5.11012590412582,0.0282541149697071
"2876","66_1",5.29978737615384,97.4388178260616,1,5.44969067006838,-0.149903293914538
"2877","66_1",5.61087016663243,193.131242333976,1,5.75110722452791,-0.140237057895484
"2878","66_1",5.71496296680938,216.695870568308,1,5.76137128398904,-0.0464083171796554
"2879","66_1",5.86688016907769,240.318906605923,1,5.7666156802149,0.100264488862792
"2880","66_1",5.92299911590676,266.949944512587,1,5.76951432445026,0.153484791456504
"2881","67_1",1.02854518999828,3.15986215758426,1,1.02815866116258,0.000386528835695676
"2882","67_1",3.43799834786318,24.8525202967116,1,3.44053036058068,-0.0025320127175017
"2883","67_1",5.120371142683,48.7821973015595,1,5.11408481590317,0.00628632677983276
"2884","67_1",5.96828284663701,120.13024940132,1,6.00697495637468,-0.0386921097376671
"2885","67_1",6.00534675825781,145.175515448864,1,6.02609294469385,-0.0207461864360434
"2886","67_1",6.0329205150886,168.646691197944,1,6.03129521267268,0.00162530241592229
"2887","67_1",6.07013387796594,190.567139769873,1,6.03282109231889,0.0373127856470479
"2888","67_1",6.04973378144884,217.104725191286,1,6.03337441261686,0.0163593688319814
"2889","68_1",1.00934070353347,4.69890777407863,1,1.0960728939276,-0.0867321903941318
"2890","68_1",1.05283101918529,95.3770223701887,1,1.0961429877699,-0.0433119685846122
"2891","68_1",1.79433342848604,191.595117107646,1,1.53765175583388,0.256681672652164
"2892","68_1",2.13754823911976,215.45178435839,1,2.03253120208791,0.105017037031845
"2893","68_1",2.47112344370693,240.859178786286,1,2.70102059628236,-0.229897152575433
"2894","68_1",3.02491507479913,261.848022895859,1,3.27458400655259,-0.24966893175346
"2895","68_1",4.55320362413088,307.464517259506,1,4.33040918695278,0.222794437178099
"2896","68_1",4.9153987443446,334.469365107178,1,4.77364498091722,0.14175376342738
"2897","68_1",5.10557546828599,358.139127387419,1,5.05885728413427,0.0467181841517199
"2898","68_1",5.39857465672378,431.934466444717,1,5.52791732087925,-0.129342664155467
"2899","68_1",5.59839098671171,454.053501547807,1,5.59346647146149,0.00492451525022375
"2900","68_1",5.56835128414808,482.14181414637,1,5.64995066552768,-0.0815993813795952
"2901","68_1",5.66310338079157,501.007534606623,1,5.67605286127444,-0.0129494804828711
"2902","68_1",5.75748184929373,527.685298755914,1,5.70186967919003,0.0556121701036956
"2903","69_1",1.02230515071315,71.5447154471544,1,0.94423644355483,0.0780687071583196
"2904","69_1",1.02289923463045,89.430894308943,1,0.948540561076988,0.074358673553462
"2905","69_1",1.02360133380544,110.569105691057,1,0.963261541170767,0.0603397926346733
"2906","69_1",1.0046446560807,139.837398373984,1,1.0226138243641,-0.0179691682834036
"2907","69_1",1.00648091546145,195.121951219512,1,1.39049224461167,-0.384011329150221
"2908","69_1",2.62319928494885,269.918699186992,1,2.53204573645049,0.0911535484983581
"2909","69_1",3.0324961001538,292.682926829268,1,2.95865424115594,0.0738418589978589
"2910","69_1",4.09034352634888,341.463414634146,1,3.84687867470987,0.243464851639014
"2911","69_1",4.350228236353,365.853658536585,1,4.24346983438401,0.106758401968991
"2912","69_1",4.89068257820904,437.39837398374,1,5.14704697642298,-0.256364398213936
"2913","69_1",5.20033531819421,460.162601626016,1,5.3551573883357,-0.154822070141494
"2914","69_1",5.34070114556344,486.178861788618,1,5.55274200571167,-0.212040860148232
"2915","69_1",5.56078223310849,512.195121951219,1,5.71312972995409,-0.152347496845596
"2916","69_1",5.74078966005025,531.707317073171,1,5.81257224129442,-0.0717825812441681
"2917","69_1",6.02054917746948,554.471544715447,1,5.9094336469635,0.111115530505975
"2918","69_1",6.26050507242964,578.861788617886,1,5.9939126526579,0.266592419771736
"2919","69_1",6.20147473410161,601.626016260162,1,6.05783060983197,0.143644124269644
"2920","6_1",-3.73589761082575,1.1045364891518,1,-3.67382379705408,-0.0620738137716712
"2921","6_1",-3.36835844868229,1.93293885601574,1,-3.47221775579599,0.1038593071137
"2922","6_1",-3.10054127764064,3.58974358974353,1,-3.07631267186395,-0.0242286057766909
"2923","6_1",-2.75575405018445,5.2465483234713,1,-2.74081413154145,-0.0149399186430004
"2924","6_1",-2.53269281355934,6.9033530571991,1,-2.4871516177657,-0.0455411957936374
"2925","6_1",-2.35042613698931,8.56015779092695,1,-2.3086361870802,-0.041789949909111
"2926","6_1",-2.12711795403802,9.66469428007881,1,-2.22317184286054,0.0960538888225222
"2927","6_1",-1.64413916592915,24.0236686390532,1,-1.97749764841657,0.333358482487422
"2928","6_1",-1.61931709341107,47.7712031558185,1,-1.97305780025464,0.353740706843572
"2929","6_1",-1.69110291970391,71.7948717948717,1,-1.97305262625034,0.281949706546435
"2930","6_1",-1.80003368291015,95.818540433925,1,-1.97305262068207,0.173018937771917
"2931","6_1",-2.46208123313255,120.118343195266,1,-1.97305262067607,-0.489028612456476
"2932","6_1",-2.63743156374901,143.865877712032,1,-1.97305262067607,-0.664378943072943
"2933","70_1",1.01001841515082,1.6260162601626,1,1.06010307357908,-0.0500846584282582
"2934","70_1",1.75783504795881,16.260162601626,1,1.65368064907612,0.104154398882687
"2935","70_1",3.13330133939376,27.6422764227642,1,3.20063615689959,-0.0673348175058255
"2936","70_1",5.13668732759989,43.9024390243902,1,5.24025508529828,-0.103567757698394
"2937","70_1",5.57522927382463,47.1544715447154,1,5.50240126848174,0.0728280053428909
"2938","70_1",6.57242613282632,69.9186991869918,1,6.3818114637042,0.190614669122119
"2939","70_1",6.50278329543016,73.170731707317,1,6.42825293981687,0.0745303556132866
"2940","70_1",6.52357623253564,99.1869918699187,1,6.57543431379085,-0.0518580812552143
"2941","70_1",6.42452624123316,117.073170731707,1,6.59380835919048,-0.169282117957321
"2942","71_1",1.02003683030165,3.2520325203252,1,1.01981092808055,0.000225902221096863
"2943","71_1",1.02041488370357,14.6341463414634,1,1.0224388888456,-0.00202400514202838
"2944","71_1",1.03081135225631,27.6422764227642,1,1.02304357183424,0.00776778042206927
"2945","71_1",1.03135142854476,43.9024390243902,1,1.02311538746653,0.0082360410782305
"2946","71_1",1.01666135349881,201.626016260162,1,1.02312001961561,-0.00645866611679535
"2947","71_1",1.0173634526738,222.764227642276,1,1.02312001961561,-0.00575656694180537
"2948","71_1",1.02076593329106,325.20325203252,1,1.02312001961561,-0.00235408632454548
"2949","71_1",1.0237903605064,416.260162601626,1,1.02312001961561,0.000670340890794652
"2950","71_1",1.016418319169,494.308943089431,1,1.02312001961561,-0.00670170044660545
"2951","71_1",1.02951516916402,588.617886178862,1,1.02312001961561,0.00639514954841469
"2952","73_1",1.01001841515082,1.6260162601626,1,0.904877883647017,0.105140531503803
"2953","73_1",1.66999163964175,71.5447154471544,1,2.17015371274581,-0.500162073104058
"2954","73_1",3.37460742507506,92.6829268292683,1,3.07718693802667,0.297420487048394
"2955","73_1",4.15242529570668,110.569105691057,1,3.83654078320294,0.315884512503744
"2956","73_1",5.03042731784655,144.715447154472,1,4.99361628063234,0.0368110372142114
"2957","73_1",5.29133817279873,200,1,5.96855286992215,-0.677214697123416
"2958","73_1",6.33997729827566,271.544715447154,1,6.35643845739074,-0.0164611591150754
"2959","73_1",6.47027070286522,294.308943089431,1,6.39933242231713,0.0709382805480887
"2960","73_1",6.57148099932152,341.463414634146,1,6.4430420083652,0.128438990956321
"2961","73_1",6.61204072858443,362.60162601626,1,6.45219549359862,0.159845234985812
