"","ID_no_Rep_dup","LogPopBio","Time","I(Time^2)","I(Time^3)",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"805","145_1",19.0659340659341,383.594692400482,147144.88803782,56443998.0651711,18.7134918355333,0.352442230400808,0.614581741572669,0.446544257833895,0.618893380649049,1.24598906230965
"806","146_1",0.648417773792389,1.48665549708571,2.21014456701516,3.2857235699072,-0.152516756359502,0.800934530151891,0.074480611759981,0.554248121524655,0.0450092634127025,1.49572616676661
"807","146_1",0.16119593175543,2.82464544446282,7.97862188692456,22.5367779659928,-0.05008667328195,0.21128260503738,0.0697346497185166,0.558220120152503,0.00290267289171246,0.393557465280452
"808","146_1",0.517592090048848,4.27000495551833,18.2329423201511,77.8547540607251,0.0596018585695221,0.457990231479326,0.0649318526307988,0.557137268443492,0.0125695397389422,0.850907629694235
"809","146_1",0.84180097694504,5.01126790475968,25.1128060132745,125.846998772778,0.115470507737431,0.726330469207609,0.0625942195717949,0.555052881208581,0.030323768886931,1.34777775404992
"810","146_1",0.679047596573614,6.39055383816695,40.8391783585103,260.984968006563,0.218732850162052,0.460314746411562,0.0584620892685373,0.557132807382407,0.0112757168687984,0.852282981834884
"811","146_1",0.483847370035636,7.76571017297121,60.3062544905885,468.320893991354,0.320790747257676,0.16305662277796,0.0546130559449,0.558341967433086,0.00131096120998547,0.301287752150839
"812","146_1",0.6453028765604,9.88625905561983,97.7381181148251,966.26435529193,0.476425051015661,0.168877825544739,0.0491783792134246,0.55833048854389,0.00125186370591794,0.311150811870021
"813","146_1",0.839983953559716,9.91103664723792,98.2286474228931,973.547724416906,0.478231107856003,0.361752845703713,0.0491183215012236,0.557669921351914,0.00573654161106673,0.666494470669784
"814","146_1",0.968213889609928,14.127356820917,199.58221074551,2819.56910630928,0.781399649949761,0.186814239660167,0.0399719568170488,0.558291489865168,0.00122135861962601,0.342543595058457
"815","146_1",0.869575477263609,17.6148028411638,310.281279133072,5465.54355723318,1.02595682137885,-0.15638134411524,0.0338732600293121,0.558359207681352,0.000716134096544312,-0.285835209613683
"816","146_1",1.32357174882601,18.3725841848173,337.551849628199,6201.69977403487,1.07836018133821,0.245211567487795,0.0327054956966153,0.558133149902005,0.00169598059837821,0.447929254902676
"817","146_1",0.933430870519384,20.4229298912146,417.096065341467,8518.32370037024,1.21884056910638,-0.285409698586997,0.0298049333905347,0.55799937454982,0.00208134063402488,-0.520579462138763
"818","146_1",1.12707364844137,23.2475753356774,540.449758987996,12564.1464872221,1.40926184757078,-0.282188199129408,0.0263829666059149,0.558012711931054,0.00178838358387005,-0.513798226378638
"819","146_1",1.25686103310758,23.2640937300894,541.218057082385,12590.9476083815,1.41036487668837,-0.153503843580786,0.0263647811925811,0.558366022163296,0.000528817486150767,-0.279491723087377
"820","146_1",0.997026689005828,23.9310239044765,572.693905116626,13705.151533294,1.4547976453813,-0.45777095637547,0.0256474077535638,0.557194126433088,0.00456818132707444,-0.833178389649862
"821","146_1",1.38638884300446,23.9805790877127,575.068173382044,13790.4678126146,1.4580912099766,-0.0717023669721435,0.0255954041162013,0.558482085205991,0.000111837128014649,-0.130500346559862
"822","146_1",1.28775043065814,27.4680251079595,754.492403331494,20724.4162784742,1.68712951232624,-0.399379081668102,0.0223603342681968,0.557513139258654,0.00301111241448772,-0.725677639923019
"823","146_1",1.3850909691578,27.4804139037686,755.173148322439,20752.4706849126,1.68793353160074,-0.302842562442943,0.022350257507444,0.557938923243769,0.00173055518424627,-0.550266534948471
"824","146_1",1.05932463364561,30.9389527337943,957.218796263958,29615.3470935101,1.90974702876637,-0.850422395120764,0.0198891366770542,0.55397139603338,0.0120828832978056,-1.54328068723706
"825","146_1",1.44868678764424,30.9885079170305,960.287622923862,29757.8806056025,1.91288714216502,-0.464200354520783,0.0198586921856033,0.557164761201416,0.0035943459229858,-0.842381762438553
"826","146_1",1.74070840314322,31.0256743044576,962.59246604628,29865.0803394766,1.9152415234338,-0.174533120290578,0.0198359431154176,0.55832384283198,0.000507512440459896,-0.316720592444507
"827","146_1",2.81145432663945,31.1619510583572,971.067193763449,30260.3483664329,1.92386909498401,0.887585231655436,0.0197531457789666,0.553564541516841,0.013068362321522,1.6106091917113
"828","146_1",1.70800198220733,31.7215116690658,1006.25430257068,31919.9076010434,1.95920949878868,-0.251207516581345,0.0194231989866521,0.55811969087547,0.00102862830011035,-0.455763621542783
"829","146_1",2.74630105953701,31.8536588243623,1014.65558049887,32320.4926854464,1.96753565274697,0.778765406790042,0.0193475990812588,0.55470936694151,0.00984568344411687,1.41285286981656
"830","146_1",1.44661018948958,36.5882436227199,1338.6995713955,48980.6660558494,2.26085539472757,-0.81424520523799,0.0171731774515686,0.554362668179191,0.00951136293800535,-1.47558606108263
"831","146_1",2.29022818981995,36.6956131863983,1346.56802712577,49413.1394525787,2.2673952447803,0.0228329450396525,0.0171349099495736,0.558511186358744,7.46197082693841e-06,0.0413773631313213
"832","146_1",1.57613799938646,37.3047289803431,1391.64280429685,51914.8576517387,2.30440290106624,-0.728264901679782,0.0169261981269532,0.555196508272014,0.00749551732075189,-1.31960560933653
"833","146_1",1.80326592255233,37.3336361705642,1393.80038971606,52035.6366440499,2.30615525215766,-0.502889329605334,0.0169166425070133,0.556934821750809,0.00357202099299019,-0.911223860295469
"834","146_1",2.9695353611629,42.382070462751,1796.23989670959,76128.3658703505,2.60674442809158,0.362790933071317,0.0156837189944778,0.557693936070293,0.00171920728156719,0.656956970055083
"835","146_1",2.06063430634542,43.3163921466834,1876.30982860526,81274.9723245416,2.66119541459563,-0.600561108250211,0.0155397762023432,0.55626344120974,0.00466657767372471,-1.08744162261277
"836","146_1",1.73603605729523,43.6250796422588,1903.14757379342,83024.9644777097,2.67910492155258,-0.943068864257349,0.0154972655807709,0.552947422880535,0.0114747627050476,-1.7075867559871
"837","146_1",2.87167567312457,43.7696155933643,1915.77924919088,83852.9212988289,2.68747694376443,0.184198729360142,0.015478196276486,0.558303083677987,0.000437198446135153,0.333519933164744
"838","146_1",3.22833140618732,44.5150081412087,1981.58594981188,88210.3146883805,2.73051412056467,0.497817285622653,0.0153880874721819,0.556968974858126,0.00317416937403456,0.901332983408188
"839","146_1",4.42704769096444,49.5675720319985,2456.94419714736,121784.758470702,3.01616143993726,1.41088625102718,0.0150944904016749,0.545980929729113,0.0249947617775897,2.55412737752405
"840","146_1",2.54435188899639,51.4279562026571,2644.83467918242,136018.442044262,3.11869524602011,-0.574343357023716,0.0151012184923706,0.55645696168253,0.00414388479493563,-1.03973732945175
"841","146_1",3.12787597045567,52.9022229039337,2798.64518817749,148054.551573987,3.19894810344929,-0.0710721329936206,0.0151410979480365,0.558482988905701,6.36273324320386e-05,-0.128664926588712
"842","146_1",3.25636548127522,56.4185761144017,3183.05573077654,179583.472023199,3.38682202218338,-0.130456540908157,0.0153354350328639,0.558408448230806,0.000217213531852238,-0.236194368499659
"843","146_1",2.7045095216745,57.0483399013616,3254.51308550129,185664.568715106,3.41994607732859,-0.715436555654088,0.0153822894643284,0.555317737995082,0.00655335394112723,-1.29534406528253
"844","146_1",3.06142482950657,57.0937654859948,3259.69805736977,186108.436442623,3.42232923720225,-0.360904407695679,0.015385788367812,0.55770269923926,0.00166804439102057,-0.653441887457693
"845","146_1",3.7749958704014,57.8845836184723,3350.62502068391,193949.534183923,3.463686244135,0.311309626266403,0.0154491133971627,0.557910539525445,0.00124637291675463,0.563665301036269
"846","146_1",3.67661703282441,60.672062675508,3681.09918930077,223339.880728018,3.60748493162966,0.0691321011947466,0.0157030789422113,0.558484665483428,6.25068699799929e-05,0.125188526612508
"847","146_1",4.45508176605234,61.4711400051915,3778.70105353785,232281.06149979,3.64814233201833,0.806939434034013,0.0157828691261136,0.554442890551939,0.00856094430567523,1.46131322201749
"848","146_1",2.86492672912193,61.9687566368549,3840.12679911775,237967.883069192,3.67333474148193,-0.808408012359997,0.0158337649853944,0.554427790377623,0.00862073248521397,-1.46401057288386
"849","146_1",3.90166835783562,66.3007055714185,4395.78355926792,291443.551518705,3.88857046682993,0.0130978910056943,0.0163013483580657,0.558513369473962,2.3320496792147e-06,0.0237256526804846
"850","146_1",3.2522122849659,67.6180475257805,4572.20035119871,309163.260644745,3.9525854039449,-0.700373118979001,0.0164470964392143,0.555447975190747,0.0067295868904658,-1.26875696997633
"851","146_1",3.93359605446351,67.7047690964439,4583.93575840278,310354.312075593,3.95677619507918,-0.023180140615672,0.0164566773653239,0.558511089004343,7.37603512394422e-06,-0.0419920574027287
"852","146_1",4.22483894565448,69.8418363735045,4877.88210802338,340680.244037814,4.05914169476575,0.165697250888734,0.016690707418462,0.558343204918799,0.00038243773811223,0.300205099865339
"853","146_1",3.34773580008023,72.5302050640678,5260.63064663573,381554.619566809,4.1854526963785,-0.837716896298272,0.016974215261161,0.554119788058947,0.00994695410106229,-1.51796813385599
"854","146_1",3.5748637232461,72.5591122542889,5264.8247711305,382011.011567619,4.18679606585588,-0.611932342609776,0.016977168996499,0.556173786336018,0.00530860675675377,-1.10884141863044
"855","146_1",5.45678080090615,72.7986289732638,5299.64038038692,385806.553743514,4.19791476323418,1.25886603767197,0.0170015522161652,0.548540095083575,0.0224997463003996,2.28113472383792
"856","146_1",3.70439153314298,73.2755976119121,5369.31320538286,393439.63388996,4.21999216774672,-0.515600634603739,0.01704961059284,0.556853612465909,0.00378541788844559,-0.934319640002455
"857","146_1",4.54723080916535,75.4828680652241,5697.66337135203,430075.972539825,4.32105212469598,0.226178684469373,0.0172623312556926,0.558195158153383,0.000737841816981282,0.409902631693339
