"","ID_no_Rep_dup","LogPopBio","Time",".fitted",".resid"
"182","109_1",-1.42977947305963,7.9254272072374,-1.37941040135173,-0.0503690717078977
"183","109_1",-1.16741520859214,8.73240911375441,-1.161365615534,-0.00604959305813768
"184","109_1",-0.925642837444435,9.81131680348468,-0.940086480442007,0.0144436429975716
"185","109_1",-0.225806668733693,23.7557589210923,-0.451040480282814,0.225233811549121
"186","109_1",-0.246009376051213,47.7365345954096,-0.448331813795609,0.202322437744396
"187","109_1",-0.242613787050075,71.712179594572,-0.448331502517837,0.205717715467762
"188","109_1",-0.338602162879037,95.7083472943541,-0.44833150248201,0.109729339602973
"189","109_1",-0.714653385780908,119.74629334897,-0.448331502482006,-0.266321883298902
"190","109_1",-0.918953849293636,143.747591723907,-0.448331502482006,-0.47062234681163
"191","10_1",-4.32438643049407,1.1045364891518,-3.03127789166032,-1.29310853883375
"192","10_1",-3.73655586647212,1.93293885601574,-3.01033242287195,-0.72622344360017
"193","10_1",-3.36911815395319,3.31360946745559,-2.97411504292406,-0.395003111029129
"194","10_1",-3.04362820078519,4.41814595660745,-2.94412455707642,-0.099503643708768
"195","10_1",-2.75583636487355,5.52268244575927,-2.91338982202419,0.157553457150636
"196","10_1",-2.53275867018948,7.17948717948707,-2.86621733100471,0.333458660815226
"197","10_1",-2.32298118186845,8.56015779092695,-2.82624101196646,0.503259830098006
"198","10_1",-2.14967062790505,9.94082840236675,-2.78595468136659,0.636284053461541
"199","10_1",-1.65796521347328,24.0236686390532,-2.40651910899579,0.74855389552251
"200","10_1",-1.71776809815303,47.7712031558185,-2.05112951062919,0.33336141247616
"201","10_1",-0.892134075218801,71.7948717948717,-1.93723899429711,1.04510491907831
"202","10_1",-1.69360391572136,96.094674556213,-1.90642187351743,0.212817957796071
"203","10_1",-2.4936874170173,120.118343195266,-1.89862493533851,-0.595062481678791
"204","10_1",-2.67521126812234,143.865877712032,-1.89664219873134,-0.778569069390995
"205","110_1",-4.12981895041573,0.00450402144771544,-1.62552512748024,-2.50429382293549
"206","110_1",-3.72435384230755,0.846756032171577,-1.60861548058996,-2.11573836171759
"207","110_1",-3.28252109002853,1.69050938337801,-1.59137794372476,-1.69114314630377
"208","110_1",-2.92584614608982,1.97501340482574,-1.58550556611891,-1.34034057997091
"209","110_1",-2.2080063529395,2.55077747989276,-1.57353816001229,-0.63446819292721
"210","110_1",-1.31640823365572,3.99506702412869,-1.54310346301226,0.226695229356539
"211","110_1",-0.73419261380306,4.89436997319034,-1.52392148801347,0.789728874210414
"212","110_1",-0.404125523179109,6.06691689008042,-1.49873692543327,1.09461140225416
"213","110_1",-0.204550718237594,7.2282037533512,-1.47369110761732,1.26914038937973
"214","110_1",-0.169005780818183,8.07646112600536,-1.4553858902919,1.28638010947372
"215","110_1",-0.1501372965138,8.92096514745307,-1.43719160794477,1.28705431143097
"216","110_1",-0.14392609642116,10.3224664879356,-1.40715026263103,1.26322416620987
"217","110_1",-0.134681038277108,24.0447184986595,-1.14444023677355,1.00975919849644
"218","110_1",-0.353233915882718,48.0766756032172,-0.88453496470686,0.531301048824142
"219","110_1",-0.505478017439395,72.1289008042895,-0.793967606661726,0.288489589222331
"220","110_1",-0.858983386616849,96.1586058981233,-0.766426847016465,-0.0925565396003838
"221","110_1",-0.965751362042554,120.226595174263,-0.758355401140516,-0.207395960902038
"222","110_1",-1.15089379517815,144.008579088472,-0.756037198375566,-0.394856596802584
"223","111_1",NA,NA,NA,NA
"224","112_1",-3.09371268191419,1.84757505773671,-1.55901773172235,-1.53469495019184
"225","112_1",-2.79143181004126,2.77136258660506,-1.55050624567378,-1.24092556436748
"226","112_1",-2.52572864430825,3.69515011547342,-1.54195633678301,-0.983772307525243
"227","112_1",-2.12026353620009,4.6189376443418,-1.53336966293641,-0.586893873263677
"228","112_1",-1.88387475813586,6.4665127020785,-1.5160926502553,-0.367782107880558
"229","112_1",-1.55747817350339,6.46651270207852,-1.5160926502553,-0.0413855232480882
"230","112_1",-1.18199389760716,7.39030023094688,-1.50740562240241,0.325411724795248
"231","112_1",-0.964081395710502,8.31408775981522,-1.49868844952997,0.534607053819464
"232","112_1",-0.413497279805428,23.094688221709,-1.35643480459224,0.942937524786809
"233","112_1",-0.253602758798918,47.1131639722864,-1.12564690421051,0.872044145411591
"234","112_1",-0.22314355131421,71.1316397228638,-0.912878193424745,0.689734642110535
"235","112_1",-0.187133113791176,95.1501154734411,-0.729637275032972,0.542504161241796
"236","112_1",-0.164874643190234,119.168591224019,-0.579414972566356,0.414540329376122
"237","112_1",-0.152374480426002,143.187066974596,-0.460571790488572,0.30819731006257
"238","112_1",-0.161734923185566,167.205542725173,-0.368942026636664,0.207207103451098
"239","112_1",-0.168024252093131,191.224018475751,-0.299595040687215,0.131570788594084
"240","112_1",-0.177533040062157,215.242494226328,-0.247811428706298,0.0702783886441406
"241","112_1",-0.171183812383498,239.260969976905,-0.209515518459203,0.0383317060757052
"242","112_1",-0.174353387144778,263.279445727483,-0.181391423939833,0.0070380367950551
"243","112_1",-0.174353387144778,287.29792147806,-0.160841233222403,-0.0135121539223746
"244","112_1",-0.177533040062157,311.316397228637,-0.145879767505782,-0.0316532725563753
"245","112_1",-0.177533040062157,335.334872979215,-0.135015676348208,-0.0425173637139495
"246","112_1",-0.180722835430257,359.353348729792,-0.127141755143421,-0.0535810802868359
"247","112_1",-0.187133113791176,383.37182448037,-0.121442788446488,-0.0656903253446879
"248","112_1",-0.180722835430257,408.314087759815,-0.117188754123823,-0.0635340813064338
"249","112_1",-0.180722835430257,431.408775981524,-0.114344622030926,-0.0663782133993311
"250","112_1",-0.180722835430257,455.427251732102,-0.112194366601241,-0.0685284688290157
"251","112_1",-0.180722835430257,479.445727482679,-0.110642063016613,-0.0700807724136445
"252","113_1",-3.53169387059152,3.82015412966996,-3.38687476994812,-0.144819100643398
"253","113_1",-3.15700042115011,6.78421846205393,-3.13644078476585,-0.0205596363842573
"254","113_1",-2.49560193890475,13.196096498576,-2.65715542231595,0.161553483411202
"255","113_1",-1.88653787555534,23.9793097671302,-2.0132176516957,0.126679776140358
