"","ID_no_Rep_dup","LogPopBio","Time",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"3283","4_1",-3.13676437838473,407.363498000456,-3.19739665939136,0.060632281006634,0.0391675697698476,0.135907692608948,0.00435482559760808,0.462232943980966
"3284","4_1",-3.05922012277465,430.958733601583,-3.17081258279199,0.11159246001734,0.0423915307936728,0.134550290074193,0.0160732788680171,0.85216104448033
"3285","4_1",-2.91889653270222,455.788818574501,-3.14283723674978,0.223940704047559,0.0469217352623287,0.128527082246358,0.0723293639822152,1.71415295314608
"3286","4_1",-2.95387536519875,479.395145637051,-3.11624066371828,0.162365298519533,0.0523103705094564,0.132330044258543,0.0428719861898387,1.24635272037022
"3287","4_1",-3.10278052556913,503.012564161024,-3.08963159425467,-0.013148931314463,0.0587566545434356,0.136442657461634,0.000320159040614148,-0.101279211627973
"3288","4_1",-3.06530541440258,526.611496915958,-3.06304335217792,-0.00226206222466052,0.0662520189477313,0.136468776888601,1.08562664565946e-05,-0.0174932508582445
"3289","4_1",-3.23341219145956,551.471159119338,-3.03503468231672,-0.198377509142842,0.0752874653548903,0.130083197889357,0.096744366834179,-1.54159351702854
"3290","4_1",-3.1484113371397,576.308638399872,-3.00705100531976,-0.141360331819941,0.0854825905580312,0.133228835965274,0.0570269921628689,-1.1046186766416
"3291","4_1",-3.06999335751589,599.903874000999,-2.98046692872038,-0.0895264287955051,0.0962489201897558,0.135163617101376,0.0263713500110311,-0.703732585440509
"3292","4_1",-3.03370535971518,623.502806755933,-2.95387868664364,-0.0798266730715422,0.108070567551788,0.135418500933618,0.0241698599869758,-0.631631232594232
"3293","4_1",-3.07302438799309,647.109133818483,-2.92728211361214,-0.145742274380947,0.120950127600226,0.132881192491935,0.0928286467509515,-1.16160801430518
"3294","4_1",-3.03670524658474,671.950310252824,-2.89929427113781,-0.13741097544693,0.135641966622091,0.133229696586697,0.095715266149043,-1.104473756238
"3295","40_1",0.536585365853657,12.621359223301,0.538561382436703,-0.0019760165830458,0.358220810166799,0.434614010322552,1.07870260747953e-05,-0.00621703441627848
"3296","40_1",0.97560975609756,15.5339805825243,1.06216769954394,-0.0865579434463829,0.280326476952151,0.432213399201092,0.0128809512199289,-0.257172584090505
"3297","40_1",1.68292682926829,20.3883495145631,1.93484489472267,-0.25191806545438,0.185560516008874,0.416300570553995,0.0563933072141142,-0.703583108557649
"3298","40_1",2.90243902439025,25.7281553398058,2.89478980941927,0.00764921497097593,0.131932842157158,0.434599901230726,3.25402592066595e-05,0.0206931071001861
"3299","40_1",3.70731707317073,29.126213592233,3.50566384604439,0.20165322712634,0.125414258716551,0.423782394873386,0.021178416826158,0.543487402734155
"3300","40_1",4.71951219512195,35.4368932038835,4.64014419977675,0.0793679953452031,0.170277450631317,0.432865046796941,0.00494906529586652,0.219616247456808
"3301","40_1",6.26829268292683,40.7766990291262,5.60008911447335,0.66820356845348,0.266084193804606,0.259259638499523,0.7006242807937,1.96594413223391
"3302","40_1",6.29268292682927,48.0582524271845,6.90910490724146,-0.61642198041219,0.482183451562544,0.205255149060469,2.17048951065276,-2.15911440838677
"3303","41_1",1.70731707317073,144.174757281553,2.52171906707424,-0.814401993903515,0.522889498297746,0.885232021957402,0.814491169585302,-1.21916564497738
"3304","41_1",3.39024390243903,215.533980582524,3.6056765090878,-0.215432606648774,0.295679997908939,1.10682015845791,0.014789092682718,-0.265435985881071
"3305","41_1",5.67073170731708,287.378640776699,4.69700781125112,0.973723896065962,0.181044528716154,0.927955956410765,0.136827451970037,1.11260001021059
"3306","41_1",6.60975609756098,359.223300970874,5.78833911341443,0.821416984146548,0.18091557993191,0.98611890046355,0.0972708589467701,0.938496638849339
"3307","41_1",7.2439024390244,431.067961165048,6.87967041557773,0.364232023446671,0.295293151556206,1.08823896125191,0.0421725051367699,0.448649570470345
"3308","41_1",6.84146341463415,502.912621359223,7.97100171774104,-1.12953830310689,0.524177243589045,0.594328144346367,1.57916106216895,-1.69321354573733
"3309","42_1",0.0243902439024351,0.970873786407779,-0.364860521510135,0.38925076541257,0.294377012865898,0.889810786110301,0.0605847811712699,0.53892853960699
"3310","42_1",0.219512195121947,12.621359223301,-0.0535719974247253,0.273084192546672,0.264553123216169,0.896156138100555,0.0246688861375442,0.370347123260897
"3311","42_1",0.219512195121947,72.3300970873786,1.54178168851299,-1.32226949339105,0.146215547840141,0.780034579281695,0.237182787363655,-1.6643088598258
"3312","42_1",1.39024390243903,96.1165048543689,2.17732909185404,-0.787085189415006,0.115158832884268,0.862103821392487,0.0616249011208992,-0.973144087037921
"3313","42_1",2.5609756097561,119.902912621359,2.81287649519507,-0.251900885438974,0.0932673379547522,0.897907464191356,0.00486829166223047,-0.307665027011715
"3314","42_1",3.64634146341464,146.601941747573,3.52624602955748,0.12009543385716,0.0796125901164907,0.900926670663565,0.000916725993222157,0.145589223107368
"3315","42_1",4.73170731707318,170.873786407767,4.17476378806874,0.556943529004436,0.077219467276174,0.882961849247028,0.0190238502157566,0.674295122370776
"3316","42_1",5.45121951219513,194.660194174757,4.81031119140978,0.640908320785351,0.0841329495723504,0.876576425787621,0.0278637268968381,0.778874992825889
"3317","42_1",6.31707317073171,216.504854368932,5.39397717406993,0.923095996661783,0.0985555521624435,0.847767158586815,0.0698945050700756,1.13074701818968
"3318","42_1",6.46341463414635,242.718446601942,6.0943763532621,0.369038280884245,0.126066187611435,0.893113900629476,0.015203042563449,0.459113660545199
"3319","42_1",7.82926829268293,264.563106796116,6.67804233592223,1.1512259567607,0.157494644102993,0.809894288964395,0.198878453705135,1.45868764882907
"3320","42_1",6.69512195121952,289.320388349514,7.33953044960372,-0.644408498384198,0.202458192290796,0.87244950233534,0.0893916793878859,-0.839213763344823
"3321","42_1",6.6219512195122,315.533980582524,8.03992962879589,-1.41797840928369,0.260888562106089,0.735661659270912,0.649412388343285,-1.91823903491319
"3322","43_1",-0.00376717325434981,13.2930065113312,0.375698442360367,-0.379465615614717,0.289967279438046,0.741988154286997,0.0802878102150378,-0.62705334486983
"3323","43_1",0.603792791050394,37.0986403906121,1.24992491650799,-0.646132125457591,0.194315212315664,0.717986448239099,0.121152290440542,-1.00232830228409
"3324","43_1",1.41075633573902,50.5782666083057,1.7449441275435,-0.334187791804485,0.15323061009628,0.747278458624531,0.0231370975495862,-0.505684039284822
"3325","43_1",1.81263339067648,63.0950623818783,2.20460482350506,-0.391971432828578,0.123547120164026,0.744044337007906,0.0239550345068079,-0.58299035668522
"3326","43_1",2.97556511840172,77.4817027860626,2.73293278062475,0.242632337776975,0.099500112602177,0.752207256420054,0.00700270929688212,0.356023030055827
"3327","43_1",3.70885120301849,90.8776046173109,3.22487733817557,0.483973864842918,0.0867927991863623,0.737956993319212,0.023632047246313,0.705193802683395
"3328","43_1",3.97565291449085,103.2409056824,3.67890116941517,0.296751745075678,0.0833513702399438,0.749936887885555,0.00846849051871772,0.431581753858851
"3329","43_1",5.2371003369334,116.734485964502,4.17443282269817,1.06266751423523,0.0886735321682382,0.659846432529787,0.11688353436604,1.54999983996678
"3330","43_1",5.51673978766071,127.102355819311,4.55517741255258,0.961562375108128,0.0991998446334491,0.677519485977693,0.109577527330774,1.41069938213866
"3331","43_1",5.9360594231076,165.266721973961,5.95670695932499,-0.0206475362173872,0.186140602634638,0.756981820170141,0.000116142537337616,-0.0318687321557712
"3332","43_1",6.52213012822471,177.992828713647,6.42405428899828,0.0980758392264338,0.231982584349731,0.756100582965333,0.0036673283674408,0.155828804823632
"3333","43_1",6.08439112775986,206.138176623676,7.45765030210246,-1.3732591743426,0.363298932171446,0.493943721687796,1.63836427341323,-2.39638151439484
"3334","44_1",0.511137803384255,16.8931551284792,0.469769410098143,0.0413683932861116,0.279215689530722,0.561803742727104,0.00169773482591933,0.0936230272673212
"3335","44_1",0.117633187091337,18.4560103421249,0.571661443892523,-0.454028256801186,0.265393132177049,0.518893055453199,0.18713234403461,-1.0178225740246
"3336","44_1",0.924736272424052,31.4332902411467,1.41772922450653,-0.492992952082482,0.173519107691584,0.516727908146856,0.113963682296902,-1.04193587223464
