"","ID_no_Rep_dup","LogPopBio","Time","(weights)",".fitted",".resid"
"2578","33_1",0.0287707061900564,153.140973041353,1,0.0757776671335848,-0.0470069609435284
"2579","33_1",0.291702993315888,178.421842145751,1,0.250704732032618,0.0409982612832697
"2580","33_1",1.17611159546642,231.486358274783,1,1.20484793697937,-0.0287363415129505
"2581","33_1",2.67004504504504,284.227481751201,1,2.80115815505785,-0.131113110012806
"2582","33_1",4.72569747166521,337.629451082962,1,4.45733336933316,0.268364102332052
"2583","33_1",6.10011624527753,416.241986768552,1,6.17948894668352,-0.0793727014059922
"2584","33_1",6.78134989828537,494.03901054755,1,7.05050623502916,-0.269156336743788
"2585","33_1",7.72551583841906,597.637143785152,1,7.51426879600932,0.211247042409735
"2586","34_1",0.339508863702396,8.35948852077888,1,0.369448473749853,-0.0299396100474565
"2587","34_1",0.55463528044172,12.7745012564747,1,0.535691573020406,0.0189437074213137
"2588","34_1",0.960985178727108,17.4144827939895,1,0.915456612116274,0.0455285666108336
"2589","34_1",1.66612176692821,23.4464587927586,1,1.7501957246444,-0.0840739577161913
"2590","34_1",2.83736559139785,28.986315537549,1,2.73187257492705,0.105493016470803
"2591","34_1",3.65006538796861,34.1043557789289,1,3.66107144957678,-0.0110060616081666
"2592","34_1",4.6420371984888,42.034506043045,1,4.90078596829265,-0.258748769803849
"2593","34_1",6.14792211566405,49.528779253637,1,5.74603938307853,0.401882732585525
"2594","34_1",6.10011624527753,56.7559020120691,1,6.28819587602657,-0.188079630749039
"2595","35_1",0.148285382156337,75.7657657657658,1,0.23239869214655,-0.0841133099902127
"2596","35_1",0.506829410055205,153.183154691694,1,0.389532076064285,0.11729733399092
"2597","35_1",1.9529569892473,231.880053677967,1,2.01742082897579,-0.0644638397284942
"2598","35_1",4.88106655042139,312.320460878336,1,4.7949609992599,0.0861055511614879
"2599","35_1",6.50646614356291,391.228268116314,1,6.68399474427952,-0.177528600716607
"2600","35_1",7.85698198198198,469.812682701677,1,7.5906155228172,0.26636645916478
"2601","35_1",7.82112757919209,546.766073473854,1,7.96479116548969,-0.143663586297603
"2602","36_1",0.0526736413833079,5.94107390122576,1,0.0307329201405679,0.02194072124274
